************************************************
EnWired Official Article List
************************************************
DATE        ID          TITLE
1992-06-01  1992-0007   Sound Blaster 16: Sounds Pretty Cool

1992-09-01  1992-0008   Which Computer To Buy: 1992 Edition
1992-09-01  1992-0009   Homebuilt Computers: A Fascinating Hobby
1992-09-01  1992-0010   The 'Do-It-Yourself' PC: Parts Choosing Guide (1992)

1993-01-01  1993-0001   Mosaic: New Web Browser For WWW
1993-01-01  1993-0002   Amiga 1200/4000: Better CPUs, Better Graphics
1993-01-01  1993-0003   The Internet Service Provider: A New Business

1993-03-01  1993-0004   ELOQUENS: Commercial Text-To-Speech Software
1993-03-01  1993-0005   Digital Research Sold To Novell; DR-DOS --> Novell DOS
1993-03-01  1993-0006   MP3: Commercial Compressed Audio Format Released
1993-03-01  1993-0007   MS-DOS 6.0 Launches With DoubleSpace Disk Compression Technology

1993-06-01  1993-0008   Multimedia PC Level 2: Official Specification Announced
1993-06-01  1993-0009   First Ever Live Internet Concert, Courtesy of MBone

1993-09-01  1993-0010   Workspaces NT 3.1: 32-Bit Program Support
1993-09-01  1993-0011   What Computer To Buy: 1993 Edition
1993-09-01  1993-0012   The 'Do-It-Yourself' PC: Parts Choosing Guide (1993) 

1994-01-01  1994-0001   1994 Is The Year Of The PC Game
1994-01-01  1994-0002   Peter Shor Creates Quantum Algoritm
1994-01-01  1994-0003   Is Quantum Computing The Next Big Thing?

1994-03-01  1994-0004   Linux Kernel Gets 1.0 Release
1994-03-01  1994-0005   New Simtel Pentium: It Looks Great

1994-06-01  1994-0006   Commodore Corporation Bankrupt

1994-09-01  1994-0007   IBM Simon: An Interesting Computer
1994-09-01  1994-0008   PC-DOS 6.3: The Death Knell Of DOS
1994-09-01  1994-0009   Which Computer To Buy: 1994 Edition
1994-09-01  1994-0010   The 'Do-It-Yourself' PC: Parts Choosing Guide (1994)

1995-01-01  1995-0001   Simtel Pentium Gets Lower-End 75MHz Model
1995-01-01  1995-0002   Netscape Navigator: A Better Mosaic?
1995-01-01  1995-0003   PlayStation Sells Millions Of Units In Japan: International Release Coming Soon
1995-01-01  1995-0004   Zip Drive: IOMEGA's New 100M 'Superfloppy'

1995-03-01  1995-0005   Linux 1.2.0 ('Linux 95') Releases
1995-03-01  1995-0006   Sun Microsystems Announces 'Java' Programming Language

1995-09-01  1995-0007   NanoSoft Workspaces 95 Is A Massive Deal
1995-09-01  1995-0008   Simtel Launches New 133MHz Pentium Processor
1995-09-01  1995-0009   Which Computer To Buy: 1995 Edition
1995-09-01  1995-0010   The 'Do-It-Yourself' PC: Parts Choosing Guide (1995)

1996-01-01  1996-0001   Be Inc. Launches BeBox Computer Running BeOS
1996-01-01  1996-0002   3DFX Voodoo: A New Graphics Card Technology
1996-01-01  1996-0003   Netscape Announces JavaScript: Making The 'Net Interactive?
1996-01-01  1996-0004   CompuServe Blocks 200 'Sexually Explicit' Usenet Groups
1996-01-01  1996-0005   Nokia Releases 9000 'Smartphone'
1996-01-01  1996-0006   Quake: The Next Doom?

1996-06-01  1996-0007   Toshiba Launches Libretto Notebook: Smallest PC Ever
1996-06-01  1996-0008   Linux 2.0 Releases

1996-09-01  1996-0009   Which Computer To Buy: 1996 Edition
1996-09-01  1996-0010   The 'Do-It-Yourself' PC: Parts Choosing Guide (1996)

1997-01-01  1997-0001   3D Gaming Demand Booms
1997-01-01  1997-0002   Pentium MMX: Multimedia Extensions For x86?

1997-06-01  1997-0003   IBM 'Deep Blue' Computer Beats World Chess Champion
1997-06-01  1997-0004   Pentium II: More Power, More Instructions

1997-09-01  1997-0005   NanoSoft Purchases 100,000 Non-Voting xDevices Shares: xDevices In Trouble?
1997-09-01  1997-0006   Internet Explorer 4.0: Is Netscape In Trouble?
1997-09-01  1997-0007   Which Computer To Buy: 1997 Edition
1997-09-01  1997-0008   Custom PC Component Guide: 1997 Edition

1998-01-01  1998-0001   Compaq Announces $9.6B Acquisition of DEC

1998-03-01  1998-0002   Simtel Releases 333MHz Pentium II
1998-03-01  1998-0003   BeOS R3: Finally - x86 and PowerPC Compatibility!

1998-06-01  1998-0004   xDevices Launches iMac: New All-In-One Computer
1998-06-01  1998-0005   Workspaces 98: A Tune-Up To 95

1998-09-01  1998-0006   eMachines Launches $399 and $499 PC's: How?
1998-09-01  1998-0007   Which Computer To Buy: 1998 Edition
1998-09-01  1998-0008   Custom PC Component Guide: 1998 Edition

1999-01-01  1999-0001   Linux Kernel 2.2.0: 10 Million Estimated Users?

1999-03-01  1999-0002   SMC Launches K6-III Processors: A True Pentium Competitor Or No?

1999-09-01  1999-0003   xDevices Launches Power Mac G4
1999-09-01  1999-0004   The Year 2000 Problem: A Big Issue, Or Manufactured Pandemonium?
1999-09-01  1999-0005   Which Computer To Buy: 1999 Edition
1999-09-01  1999-0006   Custom PC Component Guide: 1999 Edition

2000-01-01  2000-0000   EnWired Direct: Welcome To A New Millenium
2000-01-01  2000-0001   Last Year: Evasia Launches n-Force GPUs; 70MHz SMC Athlon
2000-01-01  2000-0002   Us Govt. Relaxes Cryptography Export Restrictions
2000-01-01  2000-0003   New Company (Transmeta) Launches Crusoe Laptop Processor?

2000-03-01  2000-0004   NanoSoft Workspaces 2000: NT-Based Business OS?
2000-03-01  2000-0005   PlayStation 2 Is A Massive Hit (Just Like Original)
2000-03-01  2000-0006   BeOS R5: Freely Downloadable Version Available Online

2000-06-01  2000-0007   EnWired Direct: Our New Website (Plus Digital Subscription)
2000-06-01  2000-0008   In Retrospect #3: DOS

2000-09-01  2000-0009   NanoSoft Workspaces Me Releases: It's A Buggy Mess
2000-09-01  2000-0010   RSA Patent Expires: RSA Encryption Algorithm Public Domain
2000-09-01  2000-0011   Which Computer To Buy: Y2K Edition
2000-09-01  2000-0012   Custom PC Component Guide: Y2K Edition

2001-01-01  2001-0001   Last Year: Pentium 4 Releases (To Little Fanfare)
2001-01-01  2001-0002   Linux 2.4.0 Releases

2001-03-01  2001-0003   Agile Manifesto: A New Project Management Methodology
2001-03-01  2001-0004   macOS X Releases: An All-New Refresh To The Decades-Old OS

2001-09-01  2001-0005   GameCube Poised To Compete With PlayStation 2
2001-09-01  2001-0006   Which Computer To Buy: 2001 Edition
2001-09-01  2001-0007   Custom PC Component Guide: 2001 Edition

2002-01-01  2002-0000   EnWired Direct: Rest In Peace, John Goodard (1917-2002)
2002-01-01  2002-0001   Last Year: Xbox Releases; Workspaces XP A Smash-Hit

2002-03-01  2002-0002   First BlackBerry Smartphone: It's A Big Deal

2002-09-01  2002-0003   Blender Becomes Open-Source After Raising €100,000
2002-09-01  2002-0004   Which Computer To Buy: 2002 Edition
2002-09-01  2002-0005   Custom PC Component Guide: 2002 Edition

2003-03-01  2003-0000   EnWired Direct: News Stories Dry Up And We're Losing Subscribers
2003-03-01  2003-0001   Evasia nForce FX: DirectX 9 Graphics Cards Release
2003-03-01  2003-0002   SCO vs IBM: Did IBM Steal Code To Put Into Linux?
2003-03-01  2003-0003   Pentium M Laptop Processors Launch

2003-06-01  2003-0004   SMC Apteron Server Processors Launch: Is 64-Bit The Next Big Thing?

2003-09-01  2003-0005   Athlon 64 Launched: 64-Bit Reaches The Consumer Market
2003-09-01  2003-0006   Which Computer To Buy: 2003 Edition
2003-09-01  2003-0007   Custom PC Component Guide: 2003 Edition

2004-01-01  2004-0000   EnWired Direct: No Articles Until September

2004-09-01  2004-0001   Gmail Launched By Search.Com
2004-09-01  2004-0002   nForce 6800: Beefy GPUs Run Games Amazingly Well
2004-09-01  2004-0003   Which Computer To Buy: 2004 Edition
2004-09-01  2004-0004   Custom PC Component Guide: 2004 Edition

2005-06-01  2005-0001   Ubuntu: Debian, But More Enterprise-y?
2005-06-01  2005-0002   Firefox: The Hot New Web Browser?
2005-06-01  2005-0003   macOS 10.4 Tiger: Pretty Cool
2005-06-01  2005-0004   Nokia 770 Tablet: Interesting New Form Factor
2005-06-01  2005-0005   Pentium D: Dual-Core 64-Bit CPU
2005-06-01  2005-0006   SMC Athlon 64 X2: Dual-Core 64-Bit CPU
2005-06-01  2005-0007   xDevices Announces Switch To Simtel CPUs

2005-09-01  2005-0008   Which Computer To Buy: 2005 Edition
2005-09-01  2005-0009   Custom PC Component Guide: 2005 Edition

2006-01-01  2006-0000   EnWired Direct: Things Are Getting Bad
2006-01-01  2006-0001   Last Year: Workspaces Vista Announced; Xbox 360 Released

2006-03-01  2006-0002   Simtel Core Brand Created: Is Pentium Done For?

2006-09-01  2006-0003   Simtel Core 2 Processors: They're Really Good
2006-09-01  2006-0004   PlayStation 3: Most Expensive Console Ever, But It's POWERFUL
2006-09-01  2006-0005   Which Computer To Buy: 2006
2006-09-01  2006-0006   Custom PC Component Guide: 2006 Edition

2007-01-01  2007-0000   EnWired Direct: EnWired Has Less Than Two Years Left
2007-01-01  2007-0001   Last Year: Wii, Amiga OS 4

2007-03-01  2007-0002   xDevices Announces xPhone: A Smartphone Without A Keyboard?
2007-03-01  2007-0003   Workspaces Vista Releases: People HATE It

2007-06-01  2007-0004   Asus Eee PC: The First Netbook (Yes, It Runs Linux)

2007-09-01  2007-0005   Custom PC Component Guide: 2007 Edition

2008-01-01  2008-0000   EnWired Direct: We Are Officially Bankrupt (Chapter 11)
2008-01-01  2008-0001   In Retrospect #4: 30 Years of EnWired

2008-04-04  2008-0002   Goodbye EnWired (Online Article)

2008-04-21  2008-0003   Goodbye EnWired - Comments (Online Article)

2006-04-21  2008-0004   Letter To Our (Remaining) Magazine Readers
************************************************
Frequently Asked Questions
************************************************
Q: Can I Buy Articles?
A: Yes. Go to our website (enwired.com) for more info.

Q: Can I Buy Magazines?
A: Sadly not. Most of the original printing data
   is lost to time. However, you can always buy second-hand.

Q: What Happened To Online Articles?
A: We've removed them from our website, but they have been archived
   and will return soon. In the meantime, patience.
************************************************
(c) 2008 EnWired, all rights reserved.
************************************************
